Sampling rate: 250Hz, SamplingInterval: 4ms
Type, Description, Position, Length, Channel
Pulse Artifact, R, 1319, 1, ECG
Pulse Artifact, R, 1512, 1, ECG
Pulse Artifact, R, 3472, 1, ECG
Pulse Artifact, R, 3665, 1, ECG
Pulse Artifact, R, 3870, 1, ECG
Pulse Artifact, R, 4087, 1, ECG
Pulse Artifact, R, 4292, 1, ECG
Pulse Artifact, R, 4493, 1, ECG
Pulse Artifact, R, 4704, 1, ECG
Pulse Artifact, R, 4921, 1, ECG
Pulse Artifact, R, 5124, 1, ECG
Pulse Artifact, R, 5328, 1, ECG
Pulse Artifact, R, 5542, 1, ECG
Pulse Artifact, R, 5926, 1, ECG
Pulse Artifact, R, 6123, 1, ECG
Pulse Artifact, R, 6319, 1, ECG
Pulse Artifact, R, 6524, 1, ECG
Pulse Artifact, R, 6746, 1, ECG
Pulse Artifact, R, 6963, 1, ECG
Pulse Artifact, R, 7171, 1, ECG
Pulse Artifact, R, 7558, 1, ECG
Pulse Artifact, R, 7766, 1, ECG
Pulse Artifact, R, 7961, 1, ECG
Pulse Artifact, R, 8176, 1, ECG
Pulse Artifact, R, 8583, 1, ECG
Pulse Artifact, R, 8789, 1, ECG
Pulse Artifact, R, 8991, 1, ECG
Pulse Artifact, R, 9211, 1, ECG
Pulse Artifact, R, 9423, 1, ECG
Pulse Artifact, R, 9635, 1, ECG
Pulse Artifact, R, 9839, 1, ECG
Pulse Artifact, R, 10067, 1, ECG
Pulse Artifact, R, 10460, 1, ECG
Pulse Artifact, R, 10667, 1, ECG
Pulse Artifact, R, 10866, 1, ECG
Pulse Artifact, R, 11110, 1, ECG
Pulse Artifact, R, 11502, 1, ECG
Pulse Artifact, R, 11709, 1, ECG
Pulse Artifact, R, 11921, 1, ECG
Pulse Artifact, R, 12130, 1, ECG
Pulse Artifact, R, 12361, 1, ECG
Pulse Artifact, R, 12750, 1, ECG
Pulse Artifact, R, 12968, 1, ECG
Pulse Artifact, R, 13198, 1, ECG
Pulse Artifact, R, 13596, 1, ECG
Pulse Artifact, R, 13807, 1, ECG
Pulse Artifact, R, 14036, 1, ECG
Pulse Artifact, R, 14261, 1, ECG
Pulse Artifact, R, 14653, 1, ECG
Pulse Artifact, R, 14872, 1, ECG
Pulse Artifact, R, 15087, 1, ECG
Pulse Artifact, R, 15316, 1, ECG
Pulse Artifact, R, 15530, 1, ECG
Pulse Artifact, R, 15761, 1, ECG
Pulse Artifact, R, 16170, 1, ECG
Pulse Artifact, R, 16394, 1, ECG
Pulse Artifact, R, 16601, 1, ECG
Pulse Artifact, R, 16808, 1, ECG
Pulse Artifact, R, 17031, 1, ECG
Pulse Artifact, R, 17260, 1, ECG
Pulse Artifact, R, 17678, 1, ECG
Pulse Artifact, R, 17886, 1, ECG
Pulse Artifact, R, 18092, 1, ECG
Pulse Artifact, R, 18300, 1, ECG
Pulse Artifact, R, 18506, 1, ECG
Pulse Artifact, R, 18702, 1, ECG
Pulse Artifact, R, 18941, 1, ECG
Pulse Artifact, R, 19345, 1, ECG
Pulse Artifact, R, 19551, 1, ECG
Pulse Artifact, R, 19764, 1, ECG
Pulse Artifact, R, 20192, 1, ECG
Pulse Artifact, R, 20398, 1, ECG
Pulse Artifact, R, 20606, 1, ECG
Pulse Artifact, R, 21029, 1, ECG
Pulse Artifact, R, 21243, 1, ECG
Pulse Artifact, R, 21441, 1, ECG
Pulse Artifact, R, 21660, 1, ECG
Pulse Artifact, R, 22059, 1, ECG
Pulse Artifact, R, 22256, 1, ECG
Pulse Artifact, R, 22658, 1, ECG
Pulse Artifact, R, 23064, 1, ECG
Pulse Artifact, R, 23294, 1, ECG
Pulse Artifact, R, 23697, 1, ECG
Pulse Artifact, R, 23918, 1, ECG
Pulse Artifact, R, 24129, 1, ECG
Pulse Artifact, R, 24328, 1, ECG
Pulse Artifact, R, 24532, 1, ECG
Pulse Artifact, R, 24764, 1, ECG
Pulse Artifact, R, 24983, 1, ECG
Pulse Artifact, R, 25333, 1, ECG
Pulse Artifact, R, 26185, 1, ECG
Pulse Artifact, R, 26378, 1, ECG
Pulse Artifact, R, 26577, 1, ECG
Pulse Artifact, R, 26776, 1, ECG
Pulse Artifact, R, 27169, 1, ECG
Pulse Artifact, R, 27389, 1, ECG
Pulse Artifact, R, 27758, 1, ECG
Pulse Artifact, R, 27970, 1, ECG
Pulse Artifact, R, 28165, 1, ECG
Pulse Artifact, R, 28356, 1, ECG
Pulse Artifact, R, 28559, 1, ECG
Pulse Artifact, R, 28769, 1, ECG
Pulse Artifact, R, 29183, 1, ECG
Pulse Artifact, R, 29389, 1, ECG
Pulse Artifact, R, 29606, 1, ECG
Pulse Artifact, R, 29829, 1, ECG
Pulse Artifact, R, 30046, 1, ECG
Pulse Artifact, R, 30246, 1, ECG
Pulse Artifact, R, 30458, 1, ECG
Pulse Artifact, R, 30675, 1, ECG
Pulse Artifact, R, 30890, 1, ECG
Pulse Artifact, R, 31093, 1, ECG
Pulse Artifact, R, 31295, 1, ECG
Pulse Artifact, R, 31504, 1, ECG
Pulse Artifact, R, 31721, 1, ECG
Pulse Artifact, R, 31921, 1, ECG
Pulse Artifact, R, 32120, 1, ECG
Pulse Artifact, R, 32331, 1, ECG
Pulse Artifact, R, 32552, 1, ECG
Pulse Artifact, R, 32931, 1, ECG
Pulse Artifact, R, 33138, 1, ECG
Pulse Artifact, R, 33462, 1, ECG
Pulse Artifact, R, 33731, 1, ECG
Pulse Artifact, R, 33921, 1, ECG
Pulse Artifact, R, 34123, 1, ECG
Pulse Artifact, R, 34340, 1, ECG
Pulse Artifact, R, 34565, 1, ECG
Pulse Artifact, R, 34939, 1, ECG
Pulse Artifact, R, 35147, 1, ECG
Pulse Artifact, R, 35351, 1, ECG
Pulse Artifact, R, 35558, 1, ECG
Pulse Artifact, R, 35754, 1, ECG
Pulse Artifact, R, 35964, 1, ECG
Pulse Artifact, R, 36190, 1, ECG
Pulse Artifact, R, 36590, 1, ECG
Pulse Artifact, R, 36802, 1, ECG
Pulse Artifact, R, 37000, 1, ECG
Pulse Artifact, R, 37243, 1, ECG
Pulse Artifact, R, 37647, 1, ECG
Pulse Artifact, R, 37861, 1, ECG
Pulse Artifact, R, 38057, 1, ECG
Pulse Artifact, R, 38294, 1, ECG
Pulse Artifact, R, 38698, 1, ECG
Pulse Artifact, R, 38911, 1, ECG
Pulse Artifact, R, 39111, 1, ECG
Pulse Artifact, R, 39320, 1, ECG
Pulse Artifact, R, 39562, 1, ECG
Pulse Artifact, R, 39966, 1, ECG
Pulse Artifact, R, 40175, 1, ECG
Pulse Artifact, R, 40385, 1, ECG
Pulse Artifact, R, 40625, 1, ECG
Pulse Artifact, R, 41028, 1, ECG
Pulse Artifact, R, 41234, 1, ECG
Pulse Artifact, R, 41443, 1, ECG
Pulse Artifact, R, 41690, 1, ECG
Pulse Artifact, R, 41910, 1, ECG
Pulse Artifact, R, 42123, 1, ECG
Pulse Artifact, R, 42326, 1, ECG
Pulse Artifact, R, 42741, 1, ECG
Pulse Artifact, R, 42999, 1, ECG
Pulse Artifact, R, 43210, 1, ECG
Pulse Artifact, R, 43440, 1, ECG
Pulse Artifact, R, 43851, 1, ECG
Pulse Artifact, R, 44101, 1, ECG
Pulse Artifact, R, 44306, 1, ECG
Pulse Artifact, R, 44530, 1, ECG
Pulse Artifact, R, 44954, 1, ECG
Pulse Artifact, R, 45177, 1, ECG
Pulse Artifact, R, 45381, 1, ECG
Pulse Artifact, R, 45599, 1, ECG
Pulse Artifact, R, 45846, 1, ECG
Pulse Artifact, R, 46261, 1, ECG
Pulse Artifact, R, 46480, 1, ECG
Pulse Artifact, R, 46695, 1, ECG
Pulse Artifact, R, 46911, 1, ECG
Pulse Artifact, R, 47351, 1, ECG
Pulse Artifact, R, 47571, 1, ECG
Pulse Artifact, R, 47820, 1, ECG
Pulse Artifact, R, 48235, 1, ECG
Pulse Artifact, R, 48455, 1, ECG
Pulse Artifact, R, 48705, 1, ECG
Pulse Artifact, R, 49131, 1, ECG
Pulse Artifact, R, 49354, 1, ECG
Pulse Artifact, R, 49573, 1, ECG
Pulse Artifact, R, 49824, 1, ECG
Pulse Artifact, R, 50063, 1, ECG
Pulse Artifact, R, 50278, 1, ECG
Pulse Artifact, R, 50518, 1, ECG
Pulse Artifact, R, 50947, 1, ECG
Pulse Artifact, R, 51176, 1, ECG
Pulse Artifact, R, 51404, 1, ECG
Pulse Artifact, R, 51653, 1, ECG
Pulse Artifact, R, 52092, 1, ECG
Pulse Artifact, R, 52315, 1, ECG
Pulse Artifact, R, 52540, 1, ECG
Pulse Artifact, R, 52769, 1, ECG
Pulse Artifact, R, 53010, 1, ECG
Pulse Artifact, R, 53449, 1, ECG
Pulse Artifact, R, 53675, 1, ECG
Pulse Artifact, R, 53905, 1, ECG
Pulse Artifact, R, 54380, 1, ECG
Pulse Artifact, R, 54601, 1, ECG
Pulse Artifact, R, 55043, 1, ECG
Pulse Artifact, R, 55278, 1, ECG
Pulse Artifact, R, 55490, 1, ECG
Pulse Artifact, R, 55749, 1, ECG
Pulse Artifact, R, 56182, 1, ECG
Pulse Artifact, R, 56416, 1, ECG
Pulse Artifact, R, 56625, 1, ECG
Pulse Artifact, R, 56855, 1, ECG
Pulse Artifact, R, 57110, 1, ECG
Pulse Artifact, R, 57547, 1, ECG
Pulse Artifact, R, 57770, 1, ECG
Pulse Artifact, R, 57975, 1, ECG
Pulse Artifact, R, 58205, 1, ECG
Pulse Artifact, R, 58647, 1, ECG
Pulse Artifact, R, 58874, 1, ECG
Pulse Artifact, R, 59083, 1, ECG
Pulse Artifact, R, 59531, 1, ECG
Pulse Artifact, R, 59783, 1, ECG
Pulse Artifact, R, 59990, 1, ECG
Pulse Artifact, R, 60203, 1, ECG
Pulse Artifact, R, 60466, 1, ECG
Pulse Artifact, R, 60897, 1, ECG
Pulse Artifact, R, 61126, 1, ECG
Pulse Artifact, R, 61335, 1, ECG
Pulse Artifact, R, 61558, 1, ECG
Pulse Artifact, R, 61802, 1, ECG
Pulse Artifact, R, 62040, 1, ECG
Pulse Artifact, R, 62268, 1, ECG
Pulse Artifact, R, 62695, 1, ECG
Pulse Artifact, R, 62934, 1, ECG
Pulse Artifact, R, 63182, 1, ECG
Pulse Artifact, R, 63403, 1, ECG
Pulse Artifact, R, 63629, 1, ECG
Pulse Artifact, R, 63879, 1, ECG
Pulse Artifact, R, 64313, 1, ECG
Pulse Artifact, R, 64538, 1, ECG
Pulse Artifact, R, 64763, 1, ECG
Pulse Artifact, R, 65014, 1, ECG
Pulse Artifact, R, 65243, 1, ECG
Pulse Artifact, R, 65908, 1, ECG
Pulse Artifact, R, 66153, 1, ECG
Pulse Artifact, R, 66378, 1, ECG
Pulse Artifact, R, 66610, 1, ECG
Pulse Artifact, R, 67047, 1, ECG
Pulse Artifact, R, 67286, 1, ECG
Pulse Artifact, R, 67500, 1, ECG
Pulse Artifact, R, 67729, 1, ECG
Pulse Artifact, R, 67987, 1, ECG
Pulse Artifact, R, 68418, 1, ECG
Pulse Artifact, R, 68638, 1, ECG
Pulse Artifact, R, 68863, 1, ECG
Pulse Artifact, R, 69314, 1, ECG
Pulse Artifact, R, 69532, 1, ECG
Pulse Artifact, R, 69774, 1, ECG
Pulse Artifact, R, 70011, 1, ECG
Pulse Artifact, R, 70438, 1, ECG
Pulse Artifact, R, 70657, 1, ECG
Pulse Artifact, R, 70878, 1, ECG
